ibge,city,state,region,pop2019,pop2020,pop2021,isCountryside,cod_RegiaoDeSaude,name_RegiaoDeSaude,ibge_id
3205200,Vila Velha/ES,ES,Sudeste,493838,501325,508655,0,32002,Metropolitana,3205200
3205309,Vitória/ES,ES,Sudeste,362097,365855,369534,0,32002,Metropolitana,3205309
2800100,Amparo de São Francisco/SE,SE,Nordeste,2374,2380,2386,1,28007,Propriá,2800100
2800209,Aquidabã/SE,SE,Nordeste,21563,21681,21796,1,28007,Propriá,2800209
2800308,Aracaju/SE,SE,Nordeste,657013,664908,672614,0,28001,Aracaju,2800308
2800407,Arauá/SE,SE,Nordeste,10056,9947,9840,1,28002,Estância,2800407
2800506,Areia Branca/SE,SE,Nordeste,18542,18686,18825,1,28003,Itabaiana,2800506
2800605,Barra dos Coqueiros/SE,SE,Nordeste,30407,30930,31439,0,28001,Aracaju,2800605
2800670,Boquim/SE,SE,Nordeste,26816,26899,26980,1,28002,Estância,2800670
2800704,Brejo Grande/SE,SE,Nordeste,8309,8353,8396,1,28007,Propriá,2800704
2801009,Campo do Brito/SE,SE,Nordeste,18109,18218,18325,1,28003,Itabaiana,2801009
2801108,Canhoba/SE,SE,Nordeste,4008,4006,4003,1,28007,Propriá,2801108
2801207,Canindé de São Francisco/SE,SE,Nordeste,29900,30402,30894,1,28005,Nossa Senhora da Glória,2801207
2801306,Capela/SE,SE,Nordeste,34213,34514,34808,1,28006,Nossa Senhora do Socorro,2801306
2801405,Carira/SE,SE,Nordeste,22082,22239,22393,1,28003,Itabaiana,2801405
2801504,Carmópolis/SE,SE,Nordeste,16634,16937,17232,1,28006,Nossa Senhora do Socorro,2801504
2801603,Cedro de São João/SE,SE,Nordeste,5897,5913,5929,1,28007,Propriá,2801603
2801702,Cristinápolis/SE,SE,Nordeste,17874,18029,18181,1,28002,Estância,2801702
2801900,Cumbe/SE,SE,Nordeste,3987,3998,4008,1,28006,Nossa Senhora do Socorro,2801900
2802007,Divina Pastora/SE,SE,Nordeste,5138,5215,5290,1,28001,Aracaju,2802007
2802106,Estância/SE,SE,Nordeste,69184,69556,69919,1,28002,Estância,2802106
2802205,Feira Nova/SE,SE,Nordeste,5584,5601,5617,1,28005,Nossa Senhora da Glória,2802205
2802304,Frei Paulo/SE,SE,Nordeste,15421,15556,15688,1,28003,Itabaiana,2802304
2802403,Gararu/SE,SE,Nordeste,11604,11601,11599,1,28005,Nossa Senhora da Glória,2802403
